index,frame,F11,F12,F21,F22,E11,E12,E21,E22,P11,P12,P21,P22,S11,S12,S21,S22,vol_square,vol_rectangle_p,vol_rectangle_m,Psi,Psi_me,Psi_couple,len_c,len_s_r_p,len_s_r_m,F11_old,F12_old,F21_old,F22_old,vol_rectangle_p_old,vol_rectangle_m_old
155,400,1.0009877736,0.00031897952254000004,-0.00042537605112,1.00070605,0.00098835194464,-5.3190892888000005e-05,-5.3190892888000005e-05,0.0007063500974600002,0.18305249071,-3.2275657149999996e-05,-0.0021448693297,0.06911092352,0.18287251295,-5.4251477134e-05,-0.0020656213104,0.069062139121,0.60051097394,0.19277006173,0.20671896433,0.7065525979,-0.019234603887,-0.043760238831000005,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
156,400,1.0009877736,0.00031969959554,-0.00042545575660000003,1.0006743875,0.0009883519785499999,-5.286364613000001e-05,-5.286364613000001e-05,0.00067466597502,0.18222136647,-3.2357149024e-05,-0.0021475441320000003,0.0674011067,0.18204221134,-5.3837546968000006e-05,-0.0020686981211,0.067355659981,0.60051097394,0.19277006173,0.20671896433,0.70655044486,-0.019236756932000002,-0.043760583026,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
157,400,1.001027254,0.00031966304833,-0.00042533335508999995,1.00070605,0.0010278721234,-5.2821119101000005e-05,-5.2821119101000005e-05,0.00070635031573,0.18519467015000002,-2.2633445234e-05,-0.0021467775307,0.070153733014,0.18500528335000002,-4.499694957699999e-05,-0.0020666294692,0.070104216795,0.60051097394,0.19277006173,0.20671896433,0.70655986906,-0.019227332729,-0.043755330312999996,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
158,400,1.001027254,0.00035060132663,-0.00055167529662,1.0006743875,0.001027933842,-0.00010054292813000001,-0.00010054292813000001,0.0006746763271399999,0.18460325089000001,-0.00025275760313,-0.0027544024757,0.068467049916,0.18441473950999998,-0.00027646201399,-0.0026508777009,0.068420755299,0.60051097394,0.19277006173,0.20671896433,0.70655783207,-0.019229369717,-0.043756062745000004,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
159,400,1.001027254,0.00032035609618000005,-0.00042538317589,1.0006743875,0.0010278721446,-5.2492432848999995e-05,-5.2492432848999995e-05,0.0006746661851100001,0.18436864086,-2.2752885488e-05,-0.0021495061433,0.06843822117,0.18418010415999997,-4.4616872202000004e-05,-0.0020697632032,0.06839207943,0.60051097394,0.19277006173,0.20671896433,0.70655768388,-0.019229517911,-0.043755624562,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
160,400,1.000975265,0.00030078944207,-0.00034458008472,1.0006435068000001,0.00097579991462,-2.1859516430999996e-05,-2.1859516430999996e-05,0.0006437590541799999,0.18058862403999998,0.00011145541826999998,-0.0017630581693,0.065383092465,0.18041318465999998,9.1712068714e-05,-0.0016997975476,0.065341076642,0.60051097394,0.19277006173,0.20671896433,0.70654612699,-0.019241074799,-0.043762165428,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
161,400,1.0010397627,0.0003018008681,-0.00034440270952,1.0006435068000001,0.0010403625513999998,-2.1254832805e-05,-2.1254832805e-05,0.00064375935892,0.18410215651,0.00012764041768999998,-0.0017657410845999999,0.067070352577,0.18391144570999998,0.00010729996682999999,-0.0017013066821,0.067027257038,0.60051097394,0.19277006173,0.20671896433,0.70655790286,-0.019229298925999998,-0.043753991685,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
162,400,1.000975265,0.00029983065286,-0.00034449454944,1.0006868961,0.00097579988515,-2.2304057105e-05,-2.2304057105e-05,0.00068717697849,0.18172530375,0.00011169311568,-0.0017592477792999998,0.06772972493700001,0.18154875399,9.131054616199999e-05,-0.0016955405628,0.067683265021,0.60051097394,0.19277006173,0.20671896433,0.70654900497,-0.019238196815,-0.043761717476,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
163,400,1.000975265,0.00036980770254,-0.00063278259326,1.0006435068000001,0.0009759407538,-0.00013151071504000002,-0.00013151071504000002,0.0006437821853999999,0.18112757586,-0.00041145128365,-0.0031415211934000004,0.06544817138,0.18095221819,-0.00043521440547000003,-0.0030250711259000003,0.065405806905,0.60051097394,0.19277006173,0.20671896433,0.7065464698199999,-0.019240731968,-0.043763164752000004,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
164,400,1.000975265,0.00036879262459,-0.00063266017199,1.0006868961,0.00097594067635,-0.00013197122434000001,-0.00013197122434000001,0.00068720002278,0.1822609875,-0.00041175631883,-0.0031380263985,0.067795083201,0.18208452087000002,-0.00043631585798,-0.0030207538300999997,0.067748271138,0.60051097394,0.19277006173,0.20671896433,0.7065493438699999,-0.019237857921,-0.043762714747999996,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
165,400,1.0010397627,0.00037088542738,-0.00063264958065,1.0006435068000001,0.0010405033676,-0.00013089281736000002,-0.00013089281736000002,0.00064378258453,0.18464038027,-0.00039724622023000006,-0.003146375273,0.067137988238,0.18444971927,-0.00042169214971,-0.0030277348676,0.06709454566100001,0.60051097394,0.19277006173,0.20671896433,0.7065582433300001,-0.01922895846,-0.043754993192,0.053998957800191684,0.04921291011859834,0.0451146847911289,1.001,0.0002458211347,-0.00011662214977,1.0006934,0.19277006173,0.20671896432999998
