"c","Result","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.69432,0.84716,1,0.259,0.259,0.515,0
0.69342,0.84671,1,0.26,0.26,0.515,0
0.69253,0.84626,1,0.261,0.261,0.515,0
0.69164,0.84582,1,0.262,0.262,0.515,0
0.69075,0.84537,1,0.263,0.263,0.515,0
0.68986,0.84493,1,0.264,0.264,0.515,0
0.68897,0.84449,1,0.265,0.265,0.515,0
0.68809,0.84404,1,0.266,0.266,0.515,0
0.68721,0.8436,1,0.267,0.267,0.515,0
0.68633,0.84316,1,0.268,0.268,0.515,0
0.68545,0.84272,1,0.269,0.269,0.515,0
0.68457,0.84229,1,0.27,0.27,0.515,0
0.6837,0.84185,1,0.271,0.271,0.515,0
0.68283,0.84141,1,0.272,0.272,0.515,0
0.68196,0.84098,1,0.273,0.273,0.515,0
0.68109,0.84054,1,0.274,0.274,0.515,0
0.68025,0.84013,1,0.275,0.275,0.515,0
0.67941,0.83971,1,0.276,0.276,0.515,0
0.67858,0.83929,1,0.277,0.277,0.515,0
0.67775,0.83887,1,0.278,0.278,0.515,0
0.67692,0.83846,1,0.279,0.279,0.515,0
0.67609,0.83804,1,0.28,0.28,0.515,0
0.67526,0.83763,1,0.281,0.281,0.515,0
0.67443,0.83722,1,0.282,0.282,0.515,0
0.67361,0.83681,1,0.283,0.283,0.515,0
0.67279,0.83639,1,0.284,0.284,0.515,0
0.67197,0.83599,1,0.285,0.285,0.515,0
0.67115,0.83558,1,0.286,0.286,0.515,0
0.67034,0.83517,1,0.287,0.287,0.515,0
0.66952,0.83476,1,0.288,0.288,0.515,0
0.66871,0.83436,1,0.289,0.289,0.515,0
0.6679,0.83395,1,0.29,0.29,0.515,0
0.66709,0.83355,1,0.291,0.291,0.515,0
0.66629,0.83314,1,0.292,0.292,0.515,0
0.66548,0.83274,1,0.293,0.293,0.515,0
0.66468,0.83234,1,0.294,0.294,0.515,0
0.66388,0.83194,1,0.295,0.295,0.515,0
0.66308,0.83154,1,0.296,0.296,0.515,0
0.66228,0.83114,1,0.297,0.297,0.515,0
0.66148,0.83074,1,0.298,0.298,0.515,0
0.66069,0.83035,1,0.299,0.299,0.515,0
0.6599,0.82995,1,0.3,0.3,0.515,0
0.65911,0.82955,1,0.301,0.301,0.515,0
0.65832,0.82916,1,0.302,0.302,0.515,0
0.65753,0.82877,1,0.303,0.303,0.515,0
0.65675,0.82837,1,0.304,0.304,0.515,0
0.65596,0.82798,1,0.305,0.305,0.515,0
0.65518,0.82759,1,0.306,0.306,0.515,0
0.6544,0.8272,1,0.307,0.307,0.515,0
0.65363,0.82681,1,0.308,0.308,0.515,0
0.65285,0.82642,1,0.309,0.309,0.515,0
0.65208,0.82604,1,0.31,0.31,0.515,0
0.6513,0.82565,1,0.311,0.311,0.515,0
0.65053,0.82527,1,0.312,0.312,0.515,0
0.64976,0.82488,1,0.313,0.313,0.515,0
0.64903,0.82451,1,0.314,0.314,0.515,0
0.64829,0.82415,1,0.315,0.315,0.515,0
0.64756,0.82378,1,0.316,0.316,0.515,0
0.64683,0.82341,1,0.317,0.317,0.515,0
0.6461,0.82305,1,0.318,0.318,0.515,0
0.64537,0.82268,1,0.319,0.319,0.515,0
0.64464,0.82232,1,0.32,0.32,0.515,0
0.64392,0.82196,1,0.321,0.321,0.515,0
0.6432,0.8216,1,0.322,0.322,0.515,0
0.64247,0.82124,1,0.323,0.323,0.515,0
0.64175,0.82088,1,0.324,0.324,0.515,0
0.64104,0.82052,1,0.325,0.325,0.515,0
0.64032,0.82016,1,0.326,0.326,0.515,0
0.63961,0.8198,1,0.327,0.327,0.515,0
0.63889,0.81945,1,0.328,0.328,0.515,0
0.63818,0.81909,1,0.329,0.329,0.515,0
0.63747,0.81874,1,0.33,0.33,0.515,0
0.63676,0.81838,1,0.331,0.331,0.515,0
0.63606,0.81803,1,0.332,0.332,0.515,0
0.63535,0.81768,1,0.333,0.333,0.515,0
0.63465,0.81733,1,0.334,0.334,0.515,0
0.63395,0.81697,1,0.335,0.335,0.515,0
0.63325,0.81662,1,0.336,0.336,0.515,0
0.63255,0.81628,1,0.337,0.337,0.515,0
0.63185,0.81592,1,0.338,0.338,0.515,0
0.63113,0.81557,1,0.339,0.339,0.515,0
0.63042,0.81521,1,0.34,0.34,0.515,0
0.6297,0.81485,1,0.341,0.341,0.515,0
0.62899,0.8145,1,0.342,0.342,0.515,0
0.62828,0.81414,1,0.343,0.343,0.515,0
0.62757,0.81379,1,0.344,0.344,0.515,0
0.62687,0.81343,1,0.345,0.345,0.515,0
0.62616,0.81308,1,0.346,0.346,0.515,0
0.62546,0.81273,1,0.347,0.347,0.515,0
0.62476,0.81238,1,0.348,0.348,0.515,0
0.62405,0.81203,1,0.349,0.349,0.515,0
0.62336,0.81168,1,0.35,0.35,0.515,0
0.62266,0.81133,1,0.351,0.351,0.515,0
0.62196,0.81098,1,0.352,0.352,0.515,0
0.62127,0.81063,1,0.353,0.353,0.515,0
0.62061,0.8103,1,0.354,0.354,0.515,0
0.61995,0.80997,1,0.355,0.355,0.515,0
0.61929,0.80965,1,0.356,0.356,0.515,0
0.61864,0.80932,1,0.357,0.357,0.515,0
0.61798,0.80899,1,0.358,0.358,0.515,0
0.61733,0.80867,1,0.359,0.359,0.515,0
0.61668,0.80834,1,0.36,0.36,0.515,0
