-1.1244,0.16141,0.18451
-1.2036,0.1833,0.081082
-1.2299,0.20374,0.06037
-1.2482,0.22583,0.041611
-1.2797,0.24572,0.014798
-0.90011,0.49577,0.2527
-0.96522,0.38607,0.073489
-0.73612,0.70158,0.36741
-0.87026,0.53211,0.099837
-1.014,0.42153,0.047899
-0.99539,0.48093,0.050534
-0.52244,0.94625,0.3567
-0.39537,1.0356,0.37255
-0.36221,1.1336,0.14465
-0.31601,0.91183,-0.024685
-0.31392,0.8383,-0.043031
-0.30092,0.62536,-0.11677
-0.24211,0.44625,-0.33568
-0.70009,-0.92528,0.81954
-0.1844,0.23004,-0.51347
-0.18257,0.22253,-0.52388
-0.16051,0.18517,-0.5343
-0.13165,0.14979,-0.53632
-0.11306,0.1344,-0.52441
-0.68463,-0.81707,0.65957
-0.043278,0.062903,-0.59968
-0.035075,0.05344,-0.63727
-0.024524,0.04623,-0.70673
-0.02721,0.045736,-0.69745
-0.01545,0.046207,-0.76362
-0.030138,0.043102,-0.77818
-0.0068828,0.052143,-0.81822
-0.025014,0.067988,-0.73072
-0.0064918,0.071363,-0.68949
-0.016788,0.071,-0.68469
-0.033998,0.075969,-0.69393
-0.010401,0.087974,-0.4769
-0.009078,0.090313,-0.45283
-0.0082495,0.092937,-0.44226
-0.0052664,0.10873,-0.42883
-0.0064829,0.10897,-0.43084
-0.0083729,0.12116,-0.42003
0.064749,0.066046,0.0055889
0.062011,0.070613,0.018738
0.052821,0.072884,0.024389
0.039456,0.075296,0.03296
0.031774,0.081777,0.056388
0.044899,0.15631,-0.085471
0.048292,0.1543,-0.093639
-0.10567,0.14823,0.072037
-0.15791,0.17645,0.065701
-0.11989,0.16989,0.068952
0.054618,0.11572,-0.054949
-0.28999,0.32058,0.042215
-0.4547,0.22859,-0.06572
-0.35471,0.13214,-0.074856
-0.3147,0.3473,0.036793
-0.3578,0.39479,0.027179
-0.32193,0.36554,0.035536
-0.52912,0.35043,-0.052066
-0.38757,0.46688,0.020367
-0.59253,0.49571,-0.03511
-0.60646,0.51995,-0.03063
-0.45397,0.62684,-0.00021909
0.067142,0.091587,-0.029348
