time,dUx,dUy,dTnx,dTny,Fx,Fy
1,0,0.01,0,0,5.39065e-15,-0.00578464
2,0,0.02,0,0,5.36593e-15,-0.0115693
3,0,0.03,0,0,5.36854e-15,-0.0173539
