edge_number,test_id,l2_error,error_min,error_max,Dirichlet_min,Dirichlet_max,Neumann_min_1,Neumann_max_1,Neumann_min_2,Neumann_max_2,DNS_min,DNS_max,DNS_mean
9,0,0.544833242893219,-0.963472843170166,0.008387886919081211,0.550000011920929,0.550000011920929,0.5704202651977539,0.5704202651977539,0.5845043659210205,0.5845043659210205,0.550000011920929,0.5962299704551697,0.5700655579566956
9,1,0.2632250189781189,-0.09528335183858871,0.4587970972061157,0.6800000071525574,0.8799999952316284,--,--,--,--,0.6800000071525574,0.877839982509613,0.7879067659378052
9,2,0.6195996999740601,0.0,0.7197352647781372,0.9900000095367432,0.9900000095367432,0.5014654994010925,0.5014654994010925,0.5098920464515686,0.5098920464515686,0.9900000095367432,0.9965500235557556,0.9936599731445312
9,3,0.4463281035423279,-0.03765382245182991,0.5839789509773254,0.8199999928474426,0.8199999928474426,0.5777245163917542,0.5777245163917542,0.5629197955131531,0.5629197955131531,0.8199999928474426,0.8835300207138062,0.851734459400177
9,4,0.3480384945869446,0.0,0.4636489450931549,0.6899999976158142,0.9399999976158142,0.5155448913574219,0.5155448913574219,0.5125839710235596,0.5125839710235596,0.6899999976158142,0.9399999976158142,0.8188000321388245
9,5,0.159001886844635,-0.06150323525071144,0.2665281593799591,0.5400000214576721,1.0,--,--,--,--,0.5400000214576721,0.9884300231933594,0.7429681420326233
9,6,0.4665534198284149,-0.8219683766365051,0.8844292163848877,0.5199999809265137,0.6100000143051147,--,--,--,--,0.5199999809265137,0.6049900054931641,0.5672903656959534
9,7,0.19526097178459167,-0.11571450531482697,0.3513336479663849,0.5099999904632568,0.8299999833106995,0.5353553295135498,0.5848528146743774,0.5353553295135498,0.5848528146743774,0.54475998878479,0.7959100008010864,0.6800805926322937
9,8,0.3205804228782654,-0.14635688066482544,0.4812881648540497,0.6899999976158142,0.9599173665046692,--,--,--,--,0.6899999976158142,0.952210009098053,0.8347716927528381
9,9,0.19509907066822052,-0.09998415410518646,0.32110363245010376,0.5899999737739563,0.9507588744163513,--,--,--,--,0.6436899900436401,0.9469000101089478,0.7860283851623535
9,10,0.18263068795204163,-0.021070998162031174,0.29687294363975525,0.5099999904632568,0.8824976086616516,--,--,--,--,0.556689977645874,0.8813300132751465,0.7328493595123291
9,11,0.33289840817451477,-0.10836078226566315,0.4352938234806061,0.5600000023841858,0.8839263916015625,0.5014654994010925,0.5088829398155212,0.5098920464515686,0.5599600076675415,0.6464899778366089,0.8653200268745422,0.776918888092041
9,12,0.1515788733959198,-0.3446955680847168,0.4414447546005249,0.3018210232257843,0.7381789684295654,--,--,--,--,0.33258000016212463,0.7170000076293945,0.5941870808601379
9,13,0.0666709840297699,-0.14258860051631927,0.1858033984899521,0.26086869835853577,0.9397444128990173,--,--,--,--,0.2746500074863434,0.9314299821853638,0.7065930366516113
9,14,0.057983458042144775,-0.19826647639274597,0.12584403157234192,0.530340850353241,0.7896689176559448,--,--,--,--,0.5333200097084045,0.7809200286865234,0.6496388912200928
9,15,0.13283413648605347,-0.1325289011001587,0.2726796567440033,0.4400004744529724,0.9199995398521423,--,--,--,--,0.49406999349594116,0.8875399827957153,0.7045614719390869
