edge_number,test_id,l2_error,error_min,error_max,Dirichlet_min,Dirichlet_max,Neumann_min_1,Neumann_max_1,Neumann_min_2,Neumann_max_2,DNS_min,DNS_max,DNS_mean
4,329,0.3662010431289673,-0.652072012424469,0.0006828064797446132,0.5199999809265137,0.5199999809265137,0.610596239566803,0.610596239566803,0.5465668439865112,0.5465668439865112,0.5199999809265137,0.6025699973106384,0.5572750568389893
4,330,0.03645848482847214,-0.06187029927968979,0.07945077121257782,0.6200000047683716,0.8500000238418579,--,--,--,--,0.6200000047683716,0.8500000238418579,0.7289432883262634
4,331,0.035599905997514725,-0.018187806010246277,0.07173551619052887,0.6399999856948853,0.7699999809265137,--,--,--,--,0.6399999856948853,0.7699999809265137,0.7084236145019531
4,332,0.046869393438100815,-0.024740025401115417,0.10654758661985397,0.7599999904632568,0.8199999928474426,--,--,--,--,0.7599999904632568,0.8199999928474426,0.7884200215339661
4,333,0.06839332729578018,-0.01475190557539463,0.12543043494224548,0.7099999785423279,0.9900000095367432,--,--,--,--,0.7099999785423279,0.9900000095367432,0.8573735356330872
4,334,0.03122965432703495,-0.10313315689563751,0.015813110396265984,0.6200000047683716,0.6600000262260437,--,--,--,--,0.6200000047683716,0.6600000262260437,0.6410531997680664
4,335,0.08161245286464691,-0.028477873653173447,0.1352415531873703,0.6499999761581421,0.9700000286102295,--,--,--,--,0.6499999761581421,0.9682599902153015,0.8250347375869751
4,336,0.0764586552977562,-0.016248226165771484,0.15892286598682404,0.7400000095367432,0.7400000095367432,--,--,--,--,0.7400000095367432,0.7400000095367432,0.7400012016296387
4,337,0.061773285269737244,-0.01177726686000824,0.13744892179965973,0.6700000166893005,0.8899999856948853,--,--,--,--,0.6711900234222412,0.8899999856948853,0.7696634531021118
4,338,0.045808978378772736,-0.04891834035515785,0.089973084628582,0.550000011920929,0.7900000214576721,--,--,--,--,0.550000011920929,0.7886999845504761,0.6812760233879089
4,339,0.08284538984298706,-0.025615960359573364,0.14663788676261902,0.7599999904632568,0.8500000238418579,--,--,--,--,0.7599999904632568,0.8495100140571594,0.8092285990715027
4,340,0.04110769182443619,-0.05951773747801781,0.08016728609800339,0.5699999928474426,0.8100000023841858,--,--,--,--,0.5699999928474426,0.8100000023841858,0.6909329295158386
4,341,0.13935241103172302,-0.4930190145969391,0.08813399076461792,0.5699999928474426,0.5699999928474426,--,--,--,--,0.5699999928474426,0.5699999928474426,0.5700002312660217
4,342,0.06190362200140953,-0.02938561886548996,0.1380920559167862,0.7599999904632568,0.8399999737739563,--,--,--,--,0.7599999904632568,0.8399999737739563,0.8003110885620117
4,343,0.036824047565460205,-0.08695435523986816,0.07687211781740189,0.5199999809265137,0.7699999809265137,--,--,--,--,0.5199999809265137,0.7699999809265137,0.6440280675888062
4,344,0.04099030792713165,-0.10806918889284134,0.07734986394643784,0.6100000143051147,0.6299999952316284,--,--,--,--,0.6100000143051147,0.6299999952316284,0.6200776696205139
4,345,0.15433210134506226,-0.30277219414711,0.05769684165716171,0.5699999928474426,0.5699999928474426,0.5997785329818726,0.5997785329818726,0.5066518783569336,0.5066518783569336,0.5699999928474426,0.6480900049209595,0.6043907999992371
4,346,0.31368669867515564,0.0,0.48213791847229004,0.8500000238418579,0.8500000238418579,0.5498892664909363,0.5498892664909363,0.5033259391784668,0.5033259391784668,0.8500000238418579,0.8890399932861328,0.8671956062316895
4,347,0.03513723239302635,-0.04526369646191597,0.0763636901974678,0.5400000214576721,0.5400000214576721,0.7294905781745911,0.7294905781745911,0.515299379825592,0.515299379825592,0.5400000214576721,0.7196000218391418,0.6190991401672363
4,348,0.21031416952610016,0.0,0.3978295624256134,0.6100000143051147,0.6100000143051147,0.8093134164810181,0.8093134164810181,0.5206208825111389,0.5206208825111389,0.6100000143051147,0.8520600199699402,0.716611921787262
4,349,0.27355509996414185,-0.0016189147718250751,0.4159429371356964,0.8100000023841858,0.8100000023841858,0.5099778771400452,0.5099778771400452,0.5006651878356934,0.5006651878356934,0.8100000023841858,0.8178099989891052,0.8134392499923706
4,350,0.06857632845640182,-0.03734274208545685,0.12378109991550446,0.6000000238418579,0.9100000262260437,--,--,--,--,0.6000000238418579,0.9100000262260437,0.7537947297096252
4,351,0.07018419355154037,-0.016072794795036316,0.13713385164737701,0.6800000071525574,0.8700000047683716,--,--,--,--,0.6800000071525574,0.8700000047683716,0.7742614150047302
4,352,0.043630313128232956,-0.0436793714761734,0.07882696390151978,0.6399999856948853,0.8299999833106995,--,--,--,--,0.6399999856948853,0.8299999833106995,0.7357386946678162
4,353,0.07178138941526413,-0.013556910678744316,0.14911459386348724,0.7300000190734863,0.8600000143051147,--,--,--,--,0.7300000190734863,0.8600000143051147,0.7944947481155396
4,354,0.07097417861223221,-0.0268015805631876,0.16160187125205994,0.800000011920929,0.8399999737739563,--,--,--,--,0.800000011920929,0.8399999737739563,0.8201556205749512
4,355,0.42444881796836853,0.0,0.6513395309448242,0.9700000286102295,0.9700000286102295,0.5027716159820557,0.5027716159820557,0.5096082091331482,0.5096082091331482,0.9700899720191956,0.9789299964904785,0.9748664498329163
4,356,0.4257116913795471,0.0,0.6558393239974976,0.9800000190734863,0.9800000190734863,0.5,0.5,0.5,0.5,0.9800000190734863,0.9800000190734863,0.9799988269805908
4,357,0.28091031312942505,0.0,0.538943350315094,0.5600000023841858,0.5600000023841858,0.5803765654563904,0.5803765654563904,0.7786388397216797,0.7786388397216797,0.5626000165939331,0.8191199898719788,0.7011227011680603
4,358,0.1521301418542862,0.0,0.2195633202791214,0.6600000262260437,0.6600000262260437,0.5138580203056335,0.5138580203056335,0.5480411648750305,0.5480411648750305,0.6604499816894531,0.7046700119972229,0.684331476688385
4,359,0.21758586168289185,0.0,0.3202234208583832,0.7099999785423279,0.7099999785423279,0.508314847946167,0.508314847946167,0.5288246870040894,0.5288246870040894,0.7102699875831604,0.7368000149726868,0.7245989441871643
4,360,0.32383692264556885,-0.002435374539345503,0.5290329456329346,0.8999999761581421,0.8999999761581421,0.5455554127693176,0.5455554127693176,0.5531479716300964,0.5531479716300964,0.8999999761581421,0.9583100080490112,0.9269111156463623
4,361,0.23587431013584137,-0.01861078292131424,0.38012465834617615,0.800000011920929,0.800000011920929,0.5130158066749573,0.5130158066749573,0.5151851177215576,0.5151851177215576,0.800000011920929,0.8166599869728088,0.8076887130737305
