edge_number,test_id,l2_error,error_min,error_max,Dirichlet_min,Dirichlet_max,Neumann_min_1,Neumann_max_1,Neumann_min_2,Neumann_max_2,DNS_min,DNS_max,DNS_mean
4,0,0.37765195965766907,-0.05504217371344566,0.5981084108352661,0.8799999952316284,0.8799999952316284,0.508689284324646,0.508689284324646,0.5492391586303711,0.5492391586303711,0.8799999952316284,0.9072999954223633,0.8912795782089233
4,1,0.2767135202884674,-2.145665803254815e-06,0.449259877204895,0.6499999761581421,0.6499999761581421,0.6716227531433105,0.6716227531433105,0.5815207958221436,0.5815207958221436,0.6499999761581421,0.8055700063705444,0.7180986404418945
4,2,0.049806226044893265,-0.040864042937755585,0.09881186485290527,0.5199999809265137,0.8299999833106995,--,--,--,--,0.5199999809265137,0.8299999833106995,0.6742300987243652
4,3,0.2277519255876541,-0.0005087081808596849,0.4178239107131958,0.699999988079071,0.699999988079071,0.5799211263656616,0.5799211263656616,0.5035520195960999,0.5035520195960999,0.699999988079071,0.7660899758338928,0.7293910384178162
4,4,0.22330154478549957,0.0,0.5087532997131348,0.5400000214576721,0.5899999737739563,0.8296745419502258,0.8596449494361877,0.5146521925926208,0.5159842371940613,0.5459700226783752,0.844290018081665,0.6893093585968018
4,5,0.03482011705636978,-0.12740536034107208,0.11602611094713211,0.5799999833106995,0.8199999928474426,--,--,--,--,0.5799999833106995,0.7994099855422974,0.6818817257881165
4,6,0.11332947760820389,-0.008168188855051994,0.22659537196159363,0.7200000286102295,0.8799999952316284,--,--,--,--,0.7200000286102295,0.8799999952316284,0.8076050877571106
4,7,0.2099759578704834,-0.06279221177101135,0.3183777332305908,0.6000000238418579,0.8700000047683716,0.5039223432540894,0.513728141784668,0.5196115970611572,0.5686406493186951,0.6227399706840515,0.8481400012969971,0.7571018934249878
4,8,0.39742276072502136,-0.060095351189374924,0.5612596273422241,0.6000000238418579,0.9452565908432007,0.5,0.5582286715507507,0.5,0.5276586413383484,0.6000000238418579,0.9378899931907654,0.8755277991294861
4,9,0.2636120617389679,-0.12393596023321152,0.43889570236206055,0.6200000047683716,0.8102914690971375,0.5,0.5123379826545715,0.5,0.5699151754379272,0.6200000047683716,0.8098599910736084,0.7689470052719116
4,10,0.10549099743366241,-0.10948135703802109,0.20827284455299377,0.5199999809265137,1.004226803779602,--,--,--,--,0.5199999809265137,0.9957000017166138,0.8359657526016235
4,11,0.1548100709915161,-0.05984262004494667,0.2966379225254059,0.6200000047683716,0.9728413820266724,--,--,--,--,0.6200000047683716,0.9716200232505798,0.8968210816383362
4,12,0.12028639763593674,-0.2477649450302124,0.060967911034822464,0.09023888409137726,0.9997550249099731,--,--,--,--,0.09502000361680984,0.9886800050735474,0.6876599192619324
4,13,0.14795541763305664,-0.22797319293022156,0.08774236589670181,0.30015745759010315,0.8798425793647766,0.49480536580085754,0.5086703300476074,0.47056370973587036,0.5491319894790649,0.30331000685691833,0.8766899704933167,0.5921072363853455
4,14,0.08751130104064941,-0.23616686463356018,0.2741077244281769,0.04125196859240532,0.9587480425834656,--,--,--,--,0.07513400167226791,0.9306700229644775,0.6283814907073975
4,15,0.07045145332813263,-0.14841774106025696,0.13877442479133606,0.28003591299057007,0.8999640941619873,--,--,--,--,0.28850001096725464,0.8891199827194214,0.5966269373893738
