edge_number,test_id,l2_error,error_min,error_max,Dirichlet_min,Dirichlet_max,Neumann_min_1,Neumann_max_1,Neumann_min_2,Neumann_max_2,DNS_min,DNS_max,DNS_mean
5,0,0.09813857823610306,-0.045801546424627304,0.19189058244228363,0.5799999833106995,0.8899999856948853,--,--,--,--,0.5799999833106995,0.8876799941062927,0.7512832880020142
5,1,0.0927610993385315,-0.007629029452800751,0.15965335071086884,0.6800000071525574,0.9900000095367432,--,--,--,--,0.6823199987411499,0.9900000095367432,0.8187166452407837
5,2,0.16125383973121643,-0.018764300271868706,0.38119035959243774,0.7300000190734863,0.800000011920929,--,--,--,--,0.7300000190734863,0.7995399832725525,0.7681487798690796
5,3,0.16919443011283875,-0.004821164067834616,0.394784539937973,0.7900000214576721,0.8500000238418579,--,--,--,--,0.7903900146484375,0.8500000238418579,0.8173011541366577
5,4,0.19019104540348053,-0.02327282913029194,0.2861912250518799,0.6299999952316284,0.6299999952316284,0.578237771987915,0.578237771987915,0.7268894910812378,0.7268894910812378,0.6302499771118164,0.7660599946975708,0.6947863698005676
5,5,0.3640882670879364,0.0,0.5314030051231384,0.800000011920929,0.800000011920929,0.5586783289909363,0.5586783289909363,0.6701671481132507,0.6701671481132507,0.8001899719238281,0.9020500183105469,0.8485897183418274
5,6,0.08220723271369934,-0.019742250442504883,0.16162653267383575,0.6100000143051147,0.800000011920929,--,--,--,--,0.6110799908638,0.800000011920929,0.7069153785705566
5,7,0.10932330042123795,-0.0007381041650660336,0.23416458070278168,0.7099999785423279,0.800000011920929,--,--,--,--,0.7105100154876709,0.800000011920929,0.7559072971343994
5,8,0.09918524324893951,-0.05301961302757263,0.17863817512989044,0.5899999737739563,0.7400000095367432,--,--,--,--,0.5899999737739563,0.7390599846839905,0.6633991599082947
5,9,0.08457686007022858,-0.07206215709447861,0.15424154698848724,0.5299999713897705,0.8100000023841858,--,--,--,--,0.5299999713897705,0.8082500100135803,0.6670116782188416
5,10,0.43098336458206177,-0.0031480789184570312,0.6100761890411377,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,1.0
5,11,0.11510570347309113,-0.014479130506515503,0.2947182059288025,0.6200000047683716,0.6200000047683716,0.6183672547340393,0.6183672547340393,0.519727885723114,0.519727885723114,0.6200000047683716,0.6833199858665466,0.6498865485191345
5,12,0.14683429896831512,-0.012468216009438038,0.31512948870658875,0.8799999952316284,0.9900000095367432,--,--,--,--,0.8799999952316284,0.9892200231552124,0.9358712434768677
5,13,0.07184699177742004,-0.031214894726872444,0.17695122957229614,0.6600000262260437,0.8600000143051147,--,--,--,--,0.6600000262260437,0.8585799932479858,0.7615842223167419
5,14,0.15877270698547363,-0.016061216592788696,0.3234544098377228,0.7300000190734863,0.9800000190734863,--,--,--,--,0.7300000190734863,0.9800000190734863,0.8536603450775146
5,15,0.055178120732307434,-0.02473791316151619,0.09219828248023987,0.5400000214576721,0.8600000143051147,--,--,--,--,0.5400000214576721,0.8600000143051147,0.7017149329185486
5,16,0.07573579996824265,-0.023249099031090736,0.15770113468170166,0.550000011920929,0.7900000214576721,--,--,--,--,0.550000011920929,0.7900000214576721,0.6709989905357361
5,17,0.08991876244544983,-0.01680999994277954,0.18569380044937134,0.6299999952316284,0.7400000095367432,--,--,--,--,0.6299999952316284,0.7400000095367432,0.684542179107666
